UnidadeAdm - Código;Situação UnidadeAdm;UnidadeAdm - Nome;UnidadeAdm - Sigla
1002080014;ATIVO;DIR DA ESCOLA DE CONTAS                                                                                                                               ;TCEMG1002080014
1002080015;ATIVO;DME (INATIVA EM 2014)                                                                                                                                 ;TCEMG1002080015
1002090001;ATIVO;TRIBUNAL DE CONTAS SIAD ;TCEMG1002090001ZZ
1002090002;ATIVO;COORDENADORIA DE AQUISICAO DE BENS E SERVICOS ;TCEMG1002090002ZZ
1003000001;ATIVO;GABINETE;GABZZ
1003080001;ATIVO;TRIBUNAL DE JUSTICA MG                                                                                                                                ;TJMG1003080001
1003080002;ATIVO;TJMG - FEPJ                                                                                                                                           ;TJMG1003080002
1003080003;ATIVO;FEPJ/SEGOV                                                                                                                                            ;TJMG1003080003
1003090001;ATIVO;GECOMP GERENCIA DE COMPRAS DE BENS E SERVICOS;TJMG1003090001ZZ
1003090002;ATIVO;GECONT GERENCIA DE CONTRATOS E CONVENIOS;TJMG100309002ZZ
1005000001;ATIVO;GABINETE;TJMMG
1005000002;ATIVO;TJMMG- LICITACOES CONTRATOS E COMPRAS;TJMMG1051005
1005080001;ATIVO;TRIBUNAL JUSTICA MILITAR                                                                                                                              ;TJMMG1005080001
1007000001;ATIVO;ASSESSORIA DE DESENVOLVIMENTO SETORIAL;ADS
1007000002;ATIVO;ASSESSORIA ESTRATÉGICA;AEST
1007000003;ATIVO;ASSESSORIA JURÍDICA;AJ
1007000004;ATIVO;ASSESSORIA MILITAR DO CERIMONIAL;AMC
1007000005;ATIVO;ASSESSORIA MILITAR DO VICE-GOVERNADOR;AMVG
1007000006;ATIVO;CURADORIA;C
1007000007;ATIVO;COORDENADORIA ESTADUAL ADJUNTA DE DEFESA CIVIL;CEADC
1007000008;ATIVO;COORDENADORIA ESTADUAL DE DEFESA CIVIL;CEDC
1007000009;ATIVO;CHEFIA DO GABINETE MILITAR DO GOVERNADOR;CGMG
1007000010;ATIVO;CONTROLADORIA SETORIAL;CS
1007000011;ATIVO;DIRETORIA DE AQUISIÇÕES;DA
1007000012;ATIVO;DIRETORIA DE CONTABILIDADE E FINANÇAS;DCF
1007000013;ATIVO;DIRETORIA DE EDUCAÇÃO EM PROTEÇÃO E DEFESA CIVIL;DEPDC
1007000014;ATIVO;DIRETORIA DE LOGÍSTICA;DL
1007000015;ATIVO;DIRETORIA DE LOGÍSTICA E SUPRIMENTOS;DLS
1007000016;ATIVO;DIRETORIA DE MANUTENÇÃO E SERVIÇOS;DMS
1007000017;ATIVO;DIRETORIA DE PLANEJAMENTO E ORÇAMENTO;DPO
1007000018;ATIVO;DIRETORIA DE PREVENÇÃO A RISCO;DPR
1007000019;ATIVO;DIRETORIA DE RESPOSTA A DESASTRES;DRD
1007000020;ATIVO;DIRETORIA DE RECURSOS HUMANOS;DRH
1007000021;ATIVO;DIRETORIA DE REDUÇÃO DO RISCO DE DESASTRE;DRRD
1007000022;ATIVO;DIRETORIA DE SEGURANÇA;DS
1007000023;ATIVO;DIRETORIA DE TRANSPORTES AÉREOS;DTA
1007000024;ATIVO;DIRETORIA DE TRANSPORTES TERRESTRES;DTT
1007000025;ATIVO;SECRETARIA;S
1007000026;ATIVO;SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DOS PALÁCIOS;SAP
1007000027;ATIVO;SUPERINTENDÊNCIA DE GESTÃO DE DESASTRE;SGD
1007000028;ATIVO;SUBCHEFIA DO GABINETE MILITAR DO GOVERNADOR;SGMG
1007000029;ATIVO;SUPERINTENDÊNCIA DE GESTÃO DO RISCO DE DESASTRE;SGRD
1007000030;ATIVO;SUPERINTENDÊNCIA DE PLANEJAMENTO, GESTÃO E FINANÇAS;SPGF
1007000031;ATIVO;SUPERINTENDÊNCIA DE SEGURANÇA;SS
1007000032;ATIVO;SUPERINTENDÊNCIA DE TRANSPORTES;ST
1007000033;EXCLUÍDO;DIRETORIA DE GESTÃO E CONTROLE;DGCZ
1007000034;EXCLUÍDO;SUPERINTENDÊNCIA DE ADMINISTRAÇÃO E GESTÃO DOS PALÁCIOS;SAGPZ
1007000035;EXCLUÍDO;DIRETORIA DE LOGÍSTICA E APROVISIONADORIA;DLAZ
1007000036;EXCLUÍDO;DIRETORIA ADMINISTRATIVA E DE PROCESSOS;DAPZ
1007000037;EXCLUÍDO;DIRETORIA DE MANUTENÇÃO E SERVIÇOS;DMSZ
1007000038;EXCLUÍDO;CURADORIAS DOS PALÁCIOS;CPZ
1007000039;EXCLUÍDO;GABINETE;GABZZ
1007080001;ATIVO;GAB. MILITAR GOVERNADOR                                                                                                                               ;GMG1007080001
1007080002;ATIVO;GAB. MILITAR GOVERNADOR                                                                                                                               ;GMG1007080002
1007080004;ATIVO;GMG/PMMG                                                                                                                                              ;GMG1007080004
1007090001;ATIVO;ALMOXARIFADO DE MATERIAL DE CONSUMO DLP/GMG;GMG1007090001ZZ
1007090002;ATIVO;UNIDADE EXECUTORA ESPECIAL GABINETE MILITAR DO GO VERNADOR E PMMG/BTLRPAER;GMG1007090002ZZ
1007090003;ATIVO;UNIDADE EXECUTORA ESPECIAL GABINETE MILITAR DO GOVERNADOR E DEOP;GMG1007090003ZZ
1008000001;ATIVO;GABINETE;GAB
1008000002;ATIVO;ASSESSORIA JURÍDICA;ASSJUR
1008000003;ATIVO;CONSULTORIA JURÍDICA;CJ
1008000004;ATIVO;NÚCLEO DE ASSESSORAMENTO JURIDICO;NAJZ
1008000005;ATIVO;ASSESSORIA ESTRATEGICA;AE
1008080001;ATIVO;ADVOCACIA-GERAL DO ESTADO                                                                                                                             ;AGE1008080001
1008080002;ATIVO;ADVOCACIA-GERAL DO ESTADO                                                                                                                             ;AGE1008080002
1008080003;ATIVO;DESCENTRALIZACAO DEOP                                                                                                                                 ;AGE1008080003
1008080004;ATIVO;RATEIO DE HONORARIOS                                                                                                                                  ;AGE1008080004
1008080005;ATIVO;AGE - DETEL (LEI 22284)                                                                                                                               ;AGE1008080005
1008080006;ATIVO;AGE - IGTEC (LEI 22289)                                                                                                                               ;AGE1008080006
1008080007;ATIVO;AGE - IOF (LEI 22285)                                                                                                                                 ;AGE1008080007
1008080008;ATIVO;AGE-RURALMINAS(LEI 22293)                                                                                                                             ;AGE1008080008
1008080009;ATIVO;ADVOCACIA REG.UBERABA                                                                                                                                 ;AGE1008080009
1008080010;ATIVO;ADVOCACIA REG.UBERLANDIA                                                                                                                              ;AGE1008080010
1008080011;ATIVO;ADVOCACIA REG VARGINHA                                                                                                                                ;AGE1008080011
1008080012;ATIVO;PROC.TESOURO-PRECATORIO                                                                                                                               ;AGE1008080012
1008080013;ATIVO;ADVOGACIA REG.CONTAGEM                                                                                                                                ;AGE1008080013
1008080014;ATIVO;AGE - ADEMG                                                                                                                                           ;AGE1008080014
1008080015;ATIVO;AGE - IGA                                                                                                                                             ;AGE1008080015
1008080016;ATIVO;AGE - CETEC                                                                                                                                           ;AGE1008080016
1008090001;ATIVO;DEOP PROCESSADORA;AGE1008090001ZZ
1008090002;ATIVO;DIRETORIA DE MATERIAL E PATRIMONIO;AGE1008090002ZZ
1009000001;ATIVO;GABINETE;GABZ
1009000002;ATIVO;ASSESSORIA;ASSEJURZ
1009000003;ATIVO;UNIDADE TESTE INCLUSÃO ÓRGÃO OUTROS PODERES;UTIOOP
1009080001;ATIVO;MPMG-PROC GERAL JUSTICA                                                                                                                               ;MPMG1009080001
1009080002;ATIVO;MPMG-PGJ - DIOR                                                                                                                                       ;MPMG1009080002
1009080003;ATIVO;MPMG-PGJ - AUDI                                                                                                                                       ;MPMG1009080003
1009080004;ATIVO;FUNEMP                                                                                                                                                ;MPMG1009080004
1009080005;ATIVO;FEPDC                                                                                                                                                 ;MPMG1009080005
1009080006;ATIVO;TDCO POLIC. MEIO AMBIENTE                                                                                                                             ;MPMG1009080006
1009080007;ATIVO;TDCO-ESTRUT.CBMMG SALINAS                                                                                                                             ;MPMG1009080007
1009080008;ATIVO;TDCO - PRODINATA                                                                                                                                      ;MPMG1009080008
1009080009;ATIVO;TDCO FUNED DET ALERGENOS                                                                                                                              ;MPMG1009080009
1009080010;ATIVO;TDCO PCMG - DEICC                                                                                                                                     ;MPMG1009080010
1009080011;ATIVO;TPMMG - DIVERSOS                                                                                                                                      ;MPMG1009080011
1009080012;ATIVO;TDCO FUNEMP - PMMG COMAVE                                                                                                                             ;MPMG1009080012
1009080013;ATIVO;TDCO-SEEMG PROJ HORT ESCO                                                                                                                             ;MPMG1009080013
1009080014;ATIVO;TDCO SEMAD LESTE MINEIRO;MPMG1009080014
1009080015;ATIVO;TDCO FUNEMP - SEDESE;MPMG1009080015
1009080016;ATIVO;TDCO PMMG;MPMG1009080016
1009080017;ATIVO;TDCO PMMG;MPMG1009080017
1009080018;ATIVO;TDCO CBMMG;MPMG1009080018
1009080019;ATIVO;TDCO PMMG;MPMG1009080019
1009080020;ATIVO;TDCO SEF MG;MPMG1009080020
1009080021;ATIVO;TDCO IMA;MPMG1009080021
1009090001;ATIVO;DIRETORIA DE CONTRATOS E CONVENIOS ;MPMG1009090001ZZ
1009090002;ATIVO;DIVISAO DE COMPRAS ;MPMG1009090002ZZ
1009090003;ATIVO;DIVISAO DE TRANSPORTES ;MPMG1009090003ZZ
1009090004;ATIVO;DIVISAO DE LICITACAO ;MPMG1009090004ZZ
1009090005;ATIVO;GERENCIAMENTO DO SIAD NO MPMG ;MPMG1009090005ZZ
1010000001;ATIVO;ASSESSORIA DE ESTRATÉGIA;AEST
1010000002;ATIVO;ASSESSORIA JURÍDICA;AJ
1010000003;ATIVO;ASSESSORIA DE COMUNICAÇÃO;ASCOM
1010000004;ATIVO;CONTROLADORIA SETORIAL;CS
1010000005;ATIVO;COORDENADORIA TÉCNICA;CT
1010000006;ATIVO;DIRETORIA DE CONTABILIDADE E FINANÇAS;DCF
1010000007;ATIVO;DIRETORIA DE LOGÍSTICA E AQUISIÇÕES;DLT
1010000008;ATIVO;DIRETORIA DE PLANEJAMENTO E ORÇAMENTO;DPO
1010000009;ATIVO;DIRETORIA DE RECURSOS HUMANOS;DRH
1010000010;ATIVO;DIRETORIA DE TECNOLOGIA DA INFORMAÇÃO;DT
1010000011;ATIVO;GABINETE;GAB
1010000012;ATIVO;NÚCLEO DE ESTATÍSTICA;NE
1010000013;ATIVO;NÚCLEO DE INTELIGÊNCIA;NI
1010000014;ATIVO;NÚCLEO DE QUALIDADE;NQ
1010000015;ATIVO;OUVIDORIA AMBIENTAL E AGROPECUÁRIA;OAA
1010000016;ATIVO;OUVIDORIA DE ASSUNTOS GERAIS;OAG
1010000017;ATIVO;OUVIDORIA DE ASSÉDIO MORAL E SEXUAL;OAMS
1010000018;ATIVO;OUVIDORIA DE DESENVOLVIMENTO ECONÔMICO, INFRAESTRUTURA E DESENVOLVIMENTO SOCIAL;ODEIDS
1010000019;ATIVO;OUVIDORIA EDUCACIONAL;OE
1010000020;ATIVO;OUVIDORIA DE FAZENDA, LICITAÇÕES E PATRIMÔNIO PÚBLICO;OFLPP
1010000021;ATIVO;OUVIDORIA DE POLÍCIA;OP
1010000022;ATIVO;OUVIDORIA DE PREVENÇÃO E COMBATE À CORRUPÇÃO;OPCC
1010000023;ATIVO;OUVIDORIA DE SAÚDE;OS
1010000024;ATIVO;OUVIDORIA DO SISTEMA PENITENCIÁRIO E SOCIOEDUCATIVO;OSPS
1010000025;ATIVO;SUPERINTENDÊNCIA DE PLANEJAMENTO, GESTÃO E FINANÇAS;SPGF
1010080001;ATIVO;OUVIDORIA - PLANEJAMENTO                                                                                                                              ;OGE1010080001
1010080002;ATIVO;OUVIDORIA - FINANCEIRA                                                                                                                                ;OGE1010080002
1010080003;ATIVO;OUVIDORIA-CONTABIL                                                                                                                                    ;OGE1010080003
1010080004;ATIVO;OUVIDORIA-PESSOAL                                                                                                                                     ;OGE1010080004
1019000001;ATIVO;ASSESSORIA ESTRATÉGICA;AEST
1019000002;ATIVO;ADMINISTRAÇÃO FAZENDÁRIA - 1º NÍVEL;AF1
1019000003;ATIVO;ADMINISTRAÇÃO FAZENDÁRIA - 2º NÍVEL;AF2
1019000004;ATIVO;ADMINISTRAÇÃO FAZENDÁRIA - 3º NÍVEL;AF3
1019000005;ATIVO;ASSESSORIA JURÍDICA;AJ
1019000006;ATIVO;ASSESSORIA DE RECUPERAÇÃO FISCAL;ARF
1019000007;ATIVO;ASSESSORIA DE COMUNICAÇÃO SOCIAL;ASCOM
1019000008;ATIVO;ASSESSORIA TÉCNICA E DE RELAÇÕES INSTITUCIONAIS;ATRI
1019000009;ATIVO;CORREGEDORIA;COR
1019000010;ATIVO;CONTROLADORIA SETORIAL;CS
1019000011;ATIVO;DIRETORIA DE AQUISIÇÕES E CONTRATOS;DAC
1019000012;ATIVO;DIRETORIA DE ANÁLISE DE INVESTIMENTOS;DAI
1019000013;ATIVO;DIRETORIA DE ADMINISTRAÇÃO DE PESSOAL;DAP
1019000014;ATIVO;DIRETORIA DE CADASTROS, ATENDIMENTO E DOCUMENTOS ELETRÔNICOS;DCADE
1019000015;ATIVO;DIRETORIA DE COBRANÇA DO CRÉDITO;DCC
1019000016;ATIVO;DIRETORIA CENTRAL DE CONTABILIDADE GOVERNAMENTAL;DCCG
1019000017;ATIVO;DIRETORIA CENTRAL DE CONTROLE E OPERAÇÕES FINANCEIRAS;DCCOF
1019000018;ATIVO;DIRETORIA DO CONTENCIOSO FISCAL;DCF
1019000019;ATIVO;DIRETORIA CENTRAL DE GESTÃO DE ATIVOS;DCGA
1019000020;ATIVO;DIRETORIA CENTRAL DE GESTÃO DA DÍVIDA PÚBLICA;DCGDP
1019000021;ATIVO;DIRETORIA CENTRAL DE GOVERNANÇA DAS ESTATAIS;DCGE
1019000022;ATIVO;DIRETORIA CENTRAL DE GOVERNANÇA DO SISTEMA;DCGS
1019000023;ATIVO;DIRETORIA CENTRAL DE INFORMAÇÕES CONTÁBEIS E FISCAIS;DCICF
1019000024;ATIVO;DIRETORIA CENTRAL DE PLANEJAMENTO E ANÁLISE FINANCEIRA;DCPAF
1019000025;ATIVO;DELEGACIA FISCAL - 1º NÍVEL;DF1
1019000026;ATIVO;DELEGACIA FISCAL - 2º NÍVEL;DF2
1019000027;ATIVO;DIRETORIA DE BENS E SERVIÇOS FAZENDÁRIOS;DBSF
1019000028;ATIVO;DIRETORIA DE APRENDIZAGEM E DESENVOLVIMENTO HUMANO ORGANIZACIONAL;DADH
1019000029;ATIVO;DIRETORIA DE GESTÃO FISCAL;DGF
1019000030;ATIVO;DIRETORIA DE GOVERNANÇA TECNOLÓGICA;DGT
1019000031;ATIVO;DIRETORIA DE INTELIGÊNCIA ANALÍTICA;DIA
1019000032;ATIVO;DIRETORIA DE INFORMAÇÕES ECONÔMICO-FISCAIS;DIEF
1019000033;ATIVO;DIRETORIA DE INFRAESTRUTURA E SOLUÇÕES TECNOLÓGICAS;DIST
1019000034;ATIVO;DIRETORIA DE PLANEJAMENTO, ORÇAMENTO E FINANÇAS;DPOF
1019000035;ATIVO;DIRETORIA DE ORIENTAÇÃO E LEGISLAÇÃO TRIBUTÁRIA;DOLT
1019000036;ATIVO;DIRETORIA DE PLANEJAMENTO E AVALIAÇÃO FISCAL;DPAF
1019000037;ATIVO;GABINETE;GAB
1019000038;ATIVO;SUPERINTENDÊNCIA DE ARRECADAÇÃO E INFORMAÇÕES FISCAIS;SAIF
1019000039;ATIVO;SUPERINTENDÊNCIA CENTRAL DE ADMINISTRAÇÃO FINANCEIRA;SCAF
1019000040;ATIVO;SUPERINTENDÊNCIA DE CRÉDITO E COBRANÇA;SCC
1019000041;ATIVO;SUPERINTENDÊNCIA CENTRAL DE CONTADORIA GERAL;SCCG
1019000042;ATIVO;SUPERINTENDÊNCIA CENTRAL DE GOVERNANÇA DE ATIVOS E DA DÍVIDA PÚBLICA;SCGADP
1019000043;ATIVO;SUPERINTENDÊNCIA DE FISCALIZAÇÃO;SF
1019000044;ATIVO;SERVIÇO INTEGRADO DE ASSISTÊNCIA TRIBUTÁRIA E FISCAL;SIATF
1019000045;ATIVO;SUPERINTENDÊNCIA DE PLANEJAMENTO, GESTÃO E FINANÇAS;SPGF
1019000046;ATIVO;SUBSECRETARIA DA RECEITA ESTADUAL;SRE
1019000047;ATIVO;SUPERINTENDÊNCIAS REGIONAIS DA FAZENDA;SRF
1019000048;ATIVO;SUPERINTENDÊNCIA DE TRIBUTAÇÃO;ST
1019000049;ATIVO;SUBSECRETARIA DO TESOURO ESTADUAL;STE
1019000050;ATIVO;SUPERINTENDÊNCIA DE TECNOLOGIA DA INFORMAÇÃO;STI
1019000051;EXCLUÍDO;DIRETORIA DE COMPRAS;DCZZ
1019000052;EXCLUÍDO;DIRETORIA DE PLANEJAMENTO E ORÇAMENTO;DPOZZ
1019000053;EXCLUÍDO;SUPERINTENDÊNCIA DE RECURSOS HUMANOS;SRHZ
1019000054;EXCLUÍDO;DIRETORIA DE ADMINISTRAÇÃO DE PESSOAL;DAPZZ
1019000055;EXCLUÍDO;DIRETORIA DE GESTÃO DO DESEMPENHO E INTEGRAÇÃO ORGANIZACIONAL;DGDIOZZ
1019000056;EXCLUÍDO;DIRETORIA DE RELACIONAMENTO COM O SERVIDOR;DRSZZ
1019000057;EXCLUÍDO;SUBSECRETARIA DA RECEITA ESTADUAL;SREZZ
1019000058;EXCLUÍDO;SUPERINTENDÊNCIA DE FISCALIZAÇÃO;SFZZ
1019000059;EXCLUÍDO;DIRETORIA DE PLANEJAMENTO E AVALIAÇÃO FISCAL;DPAFZZ
1019000060;EXCLUÍDO;DIRETORIA DE GESTÃO FISCAL;DGFZZ
1019000061;EXCLUÍDO;SUPERINTENDÊNCIA DE TRIBUTAÇÃO;STZZ
1019000062;EXCLUÍDO;DIRETORIA DE GESTÃO TRIBUTÁRIA;DGTZZ
1019000063;EXCLUÍDO;DIRETORIA DE ORIENTAÇÃO E LEGISLAÇÃO TRIBUTÁRIA;DOLTZZ
1019000064;EXCLUÍDO;DIRETORIA DE ANÁLISE DE INVESTIMENTOS;DAIZZ
1019000065;EXCLUÍDO;SUPERINTENDÊNCIA DE ARRECADAÇÃO E INFORMAÇÕES FISCAIS;SAIFZZ
1019000066;EXCLUÍDO;DIRETORIA DE CADASTROS, ATENDIMENTO E DOCUMENTOS ELETRÔNICOS;DCADEZZ
1019000067;EXCLUÍDO;DIRETORIA DE INFORMAÇÕES ECONÔMICO-FISCAIS;DIEFZZ
1019000068;EXCLUÍDO;SUPERINTENDÊNCIA DO CRÉDITO E COBRANÇA;SCCZZ
1019000069;EXCLUÍDO;DIRETORIA DO CONTENCIOSO FISCAL;DCFZZ
1019000070;EXCLUÍDO;DIRETORIA DE COBRANÇA DO CRÉDITO;DCCZZ
1019000071;EXCLUÍDO;SUPERINTENDÊNCIA REGIONAL DA FAZENDA EM BELO HORIZONTE;SRFBHZZ
1019000072;EXCLUÍDO;DELEGACIA FISCAL - 1º NÍVEL - SRF II EM BELO HORIZONTE;DF1BHZZ
1019000073;EXCLUÍDO;DELEGACIA FISCAL - 2º NÍVEL - SRF II EM BELO HORIZONTE;DF2BHZZ
1019000074;EXCLUÍDO;DELEGACIA FISCAL DE TRÂNSITO - 1º NÍVEL - SRF II EM BELO HORIZONTE;DFT1BHZZ
1019000075;EXCLUÍDO;DELEGACIA FISCAL DE TRÂNSITO - 2º NÍVEL - SRF II EM BELO HORIZONTE;DFT2BHZZ
1019000076;EXCLUÍDO;ADMINISTRAÇÃO FAZENDÁRIA - 1º NÍVEL - SRF II EM BELO HORIZONTE;AF1BHZZ
1019000077;EXCLUÍDO;ADMINISTRAÇÃO FAZENDÁRIA - 2º NÍVEL - SRF II EM BELO HORIZONTE;AF2BHZZ
1019000078;EXCLUÍDO;ADMINISTRAÇÃO FAZENDÁRIA - 3º NÍVEL - SRF II EM BELO HORIZONTE;AF3BHZZ
1019000079;EXCLUÍDO;SERVIÇO INTEGRADO DE ASSISTÊNCIA TRIBUTÁRIA E FISCAL - SRF II EM BELO HORIZONTE;SIATFBHZZ
1019000080;EXCLUÍDO;SUPERINTENDÊNCIA REGIONAL DA FAZENDA EM CONTAGEM;SRFCTAZZ
1019000081;EXCLUÍDO;DELEGACIA FISCAL - 1º NÍVEL - SRF II EM CONTAGEM;DF1CTAZZ
1019000082;EXCLUÍDO;DELEGACIA FISCAL - 2º NÍVEL - SRF II EM CONTAGEM;DF2CTAZZ
1019000083;EXCLUÍDO;DELEGACIA FISCAL DE TRÂNSITO - 1º NÍVEL - SRF II EM CONTAGEM;DFT1CTAZZ
1019000084;EXCLUÍDO;DELEGACIA FISCAL DE TRÂNSITO - 2º NÍVEL - SRF II EM CONTAGEM;DFT2CTAZZ
1019000085;EXCLUÍDO;ADMINISTRAÇÃO FAZENDÁRIA - 1º NÍVEL - SRF II EM CONTAGEM;AF1CTAZZ
1019000086;EXCLUÍDO;ADMINISTRAÇÃO FAZENDÁRIA - 2º NÍVEL - SRF II EM CONTAGEM;AF2CTAZZ
1019000087;EXCLUÍDO;ADMINISTRAÇÃO FAZENDÁRIA - 3º NÍVEL - SRF II EM CONTAGEM;AF3CTAZZ
1019000088;EXCLUÍDO;SERVIÇO INTEGRADO DE ASSISTÊNCIA TRIBUTÁRIA E FISCAL - SRF II EM CONTAGEM;SIATFCTAZZ
1019000089;EXCLUÍDO;SUPERINTENDÊNCIA REGIONAL DA FAZENDA EM DIVINÓPOLIS;SRFDIVZZ
1019000090;EXCLUÍDO;DELEGACIA FISCAL - 1º NÍVEL  - SRF I EM DIVINÓPOLIS;DF1DIVZZ
1019000091;EXCLUÍDO;DELEGACIA FISCAL - 2º NÍVEL  - SRF I EM DIVINÓPOLIS;DF2DIVZZ
1019000092;EXCLUÍDO;DELEGACIA FISCAL DE TRÂNSITO - 1º NÍVEL  - SRF I EM DIVINÓPOLIS;DFT1DIVZZ
1019000093;EXCLUÍDO;DELEGACIA FISCAL DE TRÂNSITO - 2º NÍVEL  - SRF I EM DIVINÓPOLIS;DFT2DIVZZ
1019000094;EXCLUÍDO;ADMINISTRAÇÃO FAZENDÁRIA - 1º NÍVEL  - SRF I EM DIVINÓPOLIS;AF1DIVZZ
1019000095;EXCLUÍDO;ADMINISTRAÇÃO FAZENDÁRIA - 2º NÍVEL  - SRF I EM DIVINÓPOLIS;AF2DIVZZ
1019000096;EXCLUÍDO;ADMINISTRAÇÃO FAZENDÁRIA - 3º NÍVEL  - SRF I EM DIVINÓPOLIS;AF3DIVZZ
1019000097;EXCLUÍDO;SERVIÇO INTEGRADO DE ASSISTÊNCIA TRIBUTÁRIA E FISCAL  - SRF I EM DIVINÓPOLIS;SIATFDIVZZ
1019000098;EXCLUÍDO;SUPERINTENDÊNCIA REGIONAL DA FAZENDA EM GOVERNADOR VALADARES;SRFGVZZ
1019000099;EXCLUÍDO;DELEGACIA FISCAL - 1º NÍVEL  - SRF I EM GOVERNADOR VALADARES;DF1GVZZ
1019000100;EXCLUÍDO;DELEGACIA FISCAL - 2º NÍVEL  - SRF I EM GOVERNADOR VALADARES;DF2GVZZ
1019000101;EXCLUÍDO;DELEGACIA FISCAL DE TRÂNSITO - 1º NÍVEL  - SRF I EM GOVERNADOR VALADARES;DFT1GVZZ
1019000102;EXCLUÍDO;DELEGACIA FISCAL DE TRÂNSITO - 2º NÍVEL  - SRF I EM GOVERNADOR VALADARES;DFT2GVZZ
1019000103;EXCLUÍDO;ADMINISTRAÇÃO FAZENDÁRIA - 1º NÍVEL  - SRF I EM GOVERNADOR VALADARES;AF1GVZZ
1019000104;EXCLUÍDO;ADMINISTRAÇÃO FAZENDÁRIA - 2º NÍVEL  - SRF I EM GOVERNADOR VALADARES;AF2GVZZ
1019000105;EXCLUÍDO;ADMINISTRAÇÃO FAZENDÁRIA - 3º NÍVEL  - SRF I EM GOVERNADOR VALADARES;AF3GVZZ
1019000106;EXCLUÍDO;SERVIÇO INTEGRADO DE ASSISTÊNCIA TRIBUTÁRIA E FISCAL  - SRF I EM GOVERNADOR VALADARES;SIATFGVZZ
1019000107;EXCLUÍDO;SUPERINTENDÊNCIA REGIONAL DA FAZENDA EM IPATINGA;SRFIPAZZ
1019000108;EXCLUÍDO;DELEGACIA FISCAL - 1º NÍVEL  - SRF I EM IPATINGA;DF1IPAZZ
1019000109;EXCLUÍDO;DELEGACIA FISCAL - 2º NÍVEL  - SRF I EM IPATINGA;DF2IPAZZ
1019000110;EXCLUÍDO;DELEGACIA FISCAL DE TRÂNSITO - 1º NÍVEL  - SRF I EM IPATINGA;DFT1IPAZZ
1019000111;EXCLUÍDO;DELEGACIA FISCAL DE TRÂNSITO - 2º NÍVEL  - SRF I EM IPATINGA;DFT2IPAZZ
1019000112;EXCLUÍDO;ADMINISTRAÇÃO FAZENDÁRIA - 1º NÍVEL  - SRF I EM IPATINGA;AF1IPAZZ
1019000113;EXCLUÍDO;ADMINISTRAÇÃO FAZENDÁRIA - 2º NÍVEL  - SRF I EM IPATINGA;AF2IPAZZ
1019000114;EXCLUÍDO;ADMINISTRAÇÃO FAZENDÁRIA - 3º NÍVEL  - SRF I EM IPATINGA;AF3IPAZZ
