FuncionalProgramática - Código;AnoExercício FuncionalProgramática;Situação FuncionalProgramática;FuncionalProgramática - Formatado;Função - Código;AnoExercício Função;Situação Função;Função - Descrição;Subfunção - Código;AnoExercício Subfunção;Situação Subfunção;Subfunção - Descrição;Programa - Código;AnoExercício Programa;Situação Programa;Programa - Descrição;Identificador ProjetoAtividade - Código;AnoExercício Identificador ProjetoAtividade;Situação Identificador ProjetoAtividade;Identificador ProjetoAtividade - Descrição;ProjetoAtividade - Código;AnoExercício ProjetoAtividade;Situação ProjetoAtividade;ProjetoAtividade - Descrição;SubprojetoSubatividade - Código;IAG - Código;AnoExercício IAG;Situação IAG;IAG - Descrição;IAG - Código-Descrição
2,0617E+15;2019;ATIVO;2.061.701.201.270.000;2;2019;ATIVO;JUDICIÁRIA;61;2019;ATIVO;AÇÃO JUDICIÁRIA;701;2019;ATIVO;APOIO À ADMINISTRAÇÃO PÚBLICA;2;2019;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;127;2019;ATIVO;AUXÍLIOS CONCEDIDOS A MAGISTRADOS E SERVIDORES;1;0;2019;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
2,06171E+15;2019;ATIVO;2.061.706.100.910.000;2;2019;ATIVO;JUDICIÁRIA;61;2019;ATIVO;AÇÃO JUDICIÁRIA;706;2019;ATIVO;PRESTAÇÃO JURISDICIONAL;1;2019;ATIVO;PROJETO DO ORÇAMENTO FISCAL;91;2019;ATIVO;CELERIDADE NA PRESTAÇÃO JURISDICIONAL;1;0;2019;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
2,06171E+15;#MULTIVALUE;ATIVO;2.061.706.200.250.000;2;#MULTIVALUE;ATIVO;JUDICIÁRIA;61;#MULTIVALUE;ATIVO;AÇÃO JUDICIÁRIA;706;#MULTIVALUE;ATIVO;PRESTAÇÃO JURISDICIONAL;2;#MULTIVALUE;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;25;#MULTIVALUE;ATIVO;GESTÃO DE SERVIÇOS DE TIC;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
2,06171E+15;2019;ATIVO;2.061.706.200.500.000;2;2019;ATIVO;JUDICIÁRIA;61;2019;ATIVO;AÇÃO JUDICIÁRIA;706;2019;ATIVO;PRESTAÇÃO JURISDICIONAL;2;2019;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;50;2019;ATIVO;GESTÃO ADMINISTRATIVA DE 1ª E 2ª INSTÂNCIAS;1;0;2019;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
2,06171E+15;#MULTIVALUE;ATIVO;2.061.706.200.550.000;2;#MULTIVALUE;ATIVO;JUDICIÁRIA;61;#MULTIVALUE;ATIVO;AÇÃO JUDICIÁRIA;706;#MULTIVALUE;ATIVO;PRESTAÇÃO JURISDICIONAL;2;#MULTIVALUE;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;55;#MULTIVALUE;ATIVO;AUXÍLIOS CONCEDIDOS A MAGISTRADOS E SERVIDORES;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
2,06171E+15;#MULTIVALUE;ATIVO;2.061.706.200.910.000;2;#MULTIVALUE;ATIVO;JUDICIÁRIA;61;#MULTIVALUE;ATIVO;AÇÃO JUDICIÁRIA;706;#MULTIVALUE;ATIVO;PRESTAÇÃO JURISDICIONAL;2;#MULTIVALUE;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;91;#MULTIVALUE;ATIVO;OBRAS E GESTÃO PREDIAL;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
2,06171E+15;2019;ATIVO;2.061.706.403.950.000;2;2019;ATIVO;JUDICIÁRIA;61;2019;ATIVO;AÇÃO JUDICIÁRIA;706;2019;ATIVO;PRESTAÇÃO JURISDICIONAL;4;2019;ATIVO;ATIVIDADE FIM DO ORÇAMENTO FISCAL;395;2019;ATIVO;COMPLEMENTO PARA CARGA 17;1;0;2019;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
2,06171E+15;#MULTIVALUE;ATIVO;2.061.706.403.950.000;2;#MULTIVALUE;ATIVO;JUDICIÁRIA;61;#MULTIVALUE;ATIVO;AÇÃO JUDICIÁRIA;706;#MULTIVALUE;ATIVO;PRESTAÇÃO JURISDICIONAL;4;#MULTIVALUE;ATIVO;ATIVIDADE FIM DO ORÇAMENTO FISCAL;395;#MULTIVALUE;ATIVO;PROCESSAMENTO JUDICIÁRIO;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
2,06173E+15;#MULTIVALUE;ATIVO;2.061.734.200.470.000;2;#MULTIVALUE;ATIVO;JUDICIÁRIA;61;#MULTIVALUE;ATIVO;AÇÃO JUDICIÁRIA;734;#MULTIVALUE;ATIVO;PRESTAÇÃO JURISDICIONAL MILITAR;2;#MULTIVALUE;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;47;#MULTIVALUE;ATIVO;AUXÍLIOS CONCEDIDOS A MAGISTRADOS E SERVIDORES;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
2,06173E+15;#MULTIVALUE;ATIVO;2.061.734.403.550.000;2;#MULTIVALUE;ATIVO;JUDICIÁRIA;61;#MULTIVALUE;ATIVO;AÇÃO JUDICIÁRIA;734;#MULTIVALUE;ATIVO;PRESTAÇÃO JURISDICIONAL MILITAR;4;#MULTIVALUE;ATIVO;ATIVIDADE FIM DO ORÇAMENTO FISCAL;355;#MULTIVALUE;ATIVO;PROCESSAMENTO JUDICIÁRIO MILITAR DE 1ª E 2ª INSTÂNCIAS E AÇÕES DE COMUNICAÇÃO INSTITUCIONAL;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
2,1227E+15;2019;ATIVO;2.122.701.204.530.000;2;2019;ATIVO;JUDICIÁRIA;122;2019;ATIVO;ADMINISTRAÇÃO GERAL;701;2019;ATIVO;APOIO À ADMINISTRAÇÃO PÚBLICA;2;2019;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;453;2019;ATIVO;REMUNERAÇÃO DE MAGISTRADOS DA ATIVA E ENCARGOS SOCIAIS;1;0;2019;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
2,1227E+15;2019;ATIVO;2.122.701.204.560.000;2;2019;ATIVO;JUDICIÁRIA;122;2019;ATIVO;ADMINISTRAÇÃO GERAL;701;2019;ATIVO;APOIO À ADMINISTRAÇÃO PÚBLICA;2;2019;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;456;2019;ATIVO;REMUNERAÇÃO DE SERVIDORES DA ATIVA E ENCARGOS SOCIAIS;1;0;2019;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
2,12271E+15;#MULTIVALUE;ATIVO;2.122.706.200.530.000;2;#MULTIVALUE;ATIVO;JUDICIÁRIA;122;#MULTIVALUE;ATIVO;ADMINISTRAÇÃO GERAL;706;#MULTIVALUE;ATIVO;PRESTAÇÃO JURISDICIONAL;2;#MULTIVALUE;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;53;#MULTIVALUE;ATIVO;REMUNERAÇÃO DE MAGISTRADOS DA ATIVA E ENCARGOS SOCIAIS;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
2,12271E+15;#MULTIVALUE;ATIVO;2.122.706.200.540.000;2;#MULTIVALUE;ATIVO;JUDICIÁRIA;122;#MULTIVALUE;ATIVO;ADMINISTRAÇÃO GERAL;706;#MULTIVALUE;ATIVO;PRESTAÇÃO JURISDICIONAL;2;#MULTIVALUE;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;54;#MULTIVALUE;ATIVO;REMUNERAÇÃO DE SERVIDORES DA ATIVA E ENCARGOS SOCIAIS;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
2,12273E+15;#MULTIVALUE;ATIVO;2.122.734.200.770.000;2;#MULTIVALUE;ATIVO;JUDICIÁRIA;122;#MULTIVALUE;ATIVO;ADMINISTRAÇÃO GERAL;734;#MULTIVALUE;ATIVO;PRESTAÇÃO JURISDICIONAL MILITAR;2;#MULTIVALUE;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;77;#MULTIVALUE;ATIVO;REMUNERAÇÃO DE MAGISTRADOS DA ATIVA E ENCARGOS SOCIAIS;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
2,12273E+15;#MULTIVALUE;ATIVO;2.122.734.200.780.000;2;#MULTIVALUE;ATIVO;JUDICIÁRIA;122;#MULTIVALUE;ATIVO;ADMINISTRAÇÃO GERAL;734;#MULTIVALUE;ATIVO;PRESTAÇÃO JURISDICIONAL MILITAR;2;#MULTIVALUE;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;78;#MULTIVALUE;ATIVO;REMUNERAÇÃO DE SERVIDORES DA ATIVA E ENCARGOS SOCIAIS;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
2,12871E+15;#MULTIVALUE;ATIVO;2.128.706.201.090.000;2;#MULTIVALUE;ATIVO;JUDICIÁRIA;128;#MULTIVALUE;ATIVO;FORMAÇÃO DE RECURSOS HUMANOS;706;#MULTIVALUE;ATIVO;PRESTAÇÃO JURISDICIONAL;2;#MULTIVALUE;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;109;#MULTIVALUE;ATIVO;FORMAÇÃO, APERFEIÇOAMENTO E DESENVOLVIMENTO CONTÍNUO DE PESSOAS;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
3,06174E+15;#MULTIVALUE;ATIVO;3.061.738.402.560.000;3;#MULTIVALUE;ATIVO;ESSENCIAL À JUSTIÇA;61;#MULTIVALUE;ATIVO;AÇÃO JUDICIÁRIA;738;#MULTIVALUE;ATIVO;PROTEÇÃO E DEFESA DO CONSUMIDOR;4;#MULTIVALUE;ATIVO;ATIVIDADE FIM DO ORÇAMENTO FISCAL;256;#MULTIVALUE;ATIVO;APOIO ÀS AÇÕES DE PROTEÇÃO E DEFESA AO CONSUMIDOR;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
3,0627E+15;#MULTIVALUE;ATIVO;3.062.703.404.930.000;3;#MULTIVALUE;ATIVO;ESSENCIAL À JUSTIÇA;62;#MULTIVALUE;ATIVO;DEFESA DO INTERESSE PÚBLICO NO PROCESSO JUDICIÁRIO;703;#MULTIVALUE;ATIVO;PROCESSO JUDICIÁRIO;4;#MULTIVALUE;ATIVO;ATIVIDADE FIM DO ORÇAMENTO FISCAL;493;#MULTIVALUE;ATIVO;OPERACIONALIZAÇÃO DAS ATRIBUIÇÕES INSTITUCIONAIS DO MINISTÉRIO PÚBLICO - PROCURADORIA E PROMOTORIA DE JUSTIÇA;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
3,06271E+15;#MULTIVALUE;ATIVO;3.062.714.100.640.000;3;#MULTIVALUE;ATIVO;ESSENCIAL À JUSTIÇA;62;#MULTIVALUE;ATIVO;DEFESA DO INTERESSE PÚBLICO NO PROCESSO JUDICIÁRIO;714;#MULTIVALUE;ATIVO;AQUISIÇÃO, CONSTRUÇÃO, REPAROS DE BENS IMÓVEIS;1;#MULTIVALUE;ATIVO;PROJETO DO ORÇAMENTO FISCAL;64;#MULTIVALUE;ATIVO;CONSTRUÇÃO, AMPLIAÇÃO E REFORMA DE SEDES PRÓPRIAS;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
3,0921E+15;#MULTIVALUE;ATIVO;3.092.096.100.130.000;3;#MULTIVALUE;ATIVO;ESSENCIAL À JUSTIÇA;92;#MULTIVALUE;ATIVO;REPRESENTAÇÃO JUDICIAL E EXTRAJUDICIAL;96;#MULTIVALUE;ATIVO;DESJUDICIALIZA MINAS;1;#MULTIVALUE;ATIVO;PROJETO DO ORÇAMENTO FISCAL;13;#MULTIVALUE;ATIVO;FOMENTO À UTILIZAÇÃO DE MÉTODOS ALTERNATIVOS DE SOLUÇÃO DE CONFLITOS;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
3,0921E+15;#MULTIVALUE;ATIVO;3.092.096.100.140.000;3;#MULTIVALUE;ATIVO;ESSENCIAL À JUSTIÇA;92;#MULTIVALUE;ATIVO;REPRESENTAÇÃO JUDICIAL E EXTRAJUDICIAL;96;#MULTIVALUE;ATIVO;DESJUDICIALIZA MINAS;1;#MULTIVALUE;ATIVO;PROJETO DO ORÇAMENTO FISCAL;14;#MULTIVALUE;ATIVO;CUMPRIMENTO ADMINISTRATIVO DE DETERMINAÇÕES JUDICIAIS DECORRENTES DO ACESSO GRATUITO À JUSTIÇA;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
3,09271E+15;#MULTIVALUE;ATIVO;3.092.711.100.150.000;3;#MULTIVALUE;ATIVO;ESSENCIAL À JUSTIÇA;92;#MULTIVALUE;ATIVO;REPRESENTAÇÃO JUDICIAL E EXTRAJUDICIAL;711;#MULTIVALUE;ATIVO;REPRESENTAÇÃO JURÍDICA DO ESTADO E ENTIDADES;1;#MULTIVALUE;ATIVO;PROJETO DO ORÇAMENTO FISCAL;15;#MULTIVALUE;ATIVO;RESIDÊNCIA JURÍDICA;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
3,09271E+15;2019;ATIVO;3.092.711.100.920.000;3;2019;ATIVO;ESSENCIAL À JUSTIÇA;92;2019;ATIVO;REPRESENTAÇÃO JUDICIAL E EXTRAJUDICIAL;711;2019;ATIVO;REPRESENTAÇÃO JURÍDICA DO ESTADO;1;2019;ATIVO;PROJETO DO ORÇAMENTO FISCAL;92;2019;ATIVO;OTIMIZAÇÃO DOS PROCESSOS INTERNOS;1;0;2019;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
3,09271E+15;#MULTIVALUE;ATIVO;3.092.711.100.920.000;3;#MULTIVALUE;ATIVO;ESSENCIAL À JUSTIÇA;92;#MULTIVALUE;ATIVO;REPRESENTAÇÃO JUDICIAL E EXTRAJUDICIAL;711;#MULTIVALUE;ATIVO;REPRESENTAÇÃO JURÍDICA DO ESTADO E ENTIDADES;1;#MULTIVALUE;ATIVO;PROJETO DO ORÇAMENTO FISCAL;92;#MULTIVALUE;ATIVO;APERFEIÇOAMENTO DA GESTÃO DA AGE;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
3,09271E+15;2019;ATIVO;3.092.711.400.120.000;3;2019;ATIVO;ESSENCIAL À JUSTIÇA;92;2019;ATIVO;REPRESENTAÇÃO JUDICIAL E EXTRAJUDICIAL;711;2019;ATIVO;REPRESENTAÇÃO JURÍDICA DO ESTADO;4;2019;ATIVO;ATIVIDADE FIM DO ORÇAMENTO FISCAL;12;2019;ATIVO;CUMPRIMENTO DE DETERMINAÇÕES JUDICIAIS DECORRENTES DO ACESSO GRATUITO À JUSTIÇA;1;0;2019;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
3,09271E+15;2019;ATIVO;3.092.711.402.590.000;3;2019;ATIVO;ESSENCIAL À JUSTIÇA;92;2019;ATIVO;REPRESENTAÇÃO JUDICIAL E EXTRAJUDICIAL;711;2019;ATIVO;REPRESENTAÇÃO JURÍDICA DO ESTADO;4;2019;ATIVO;ATIVIDADE FIM DO ORÇAMENTO FISCAL;259;2019;ATIVO;REPRESENTAÇÃO JUDICIAL, COBRANÇA DA DÍVIDA ATIVA E ASSESSORAMENTO JURÍDICO AO ESTADO NA REGIÃO METROPOLITANA DE BELO HORIZONTE E NO INTERIOR.;1;0;2019;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
3,09271E+15;#MULTIVALUE;ATIVO;3.092.711.402.590.000;3;#MULTIVALUE;ATIVO;ESSENCIAL À JUSTIÇA;92;#MULTIVALUE;ATIVO;REPRESENTAÇÃO JUDICIAL E EXTRAJUDICIAL;711;#MULTIVALUE;ATIVO;REPRESENTAÇÃO JURÍDICA DO ESTADO E ENTIDADES;4;#MULTIVALUE;ATIVO;ATIVIDADE FIM DO ORÇAMENTO FISCAL;259;#MULTIVALUE;ATIVO;REPRESENTAÇÃO JUDICIAL, COBRANÇA DA DÍVIDA ATIVA E ASSESSORAMENTO JURÍDICO AO ESTADO E ENTIDADES;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
3,09273E+15;#MULTIVALUE;ATIVO;3.092.726.100.500.000;3;#MULTIVALUE;ATIVO;ESSENCIAL À JUSTIÇA;92;#MULTIVALUE;ATIVO;REPRESENTAÇÃO JUDICIAL E EXTRAJUDICIAL;726;#MULTIVALUE;ATIVO;ACESSO À JUSTIÇA;1;#MULTIVALUE;ATIVO;PROJETO DO ORÇAMENTO FISCAL;50;#MULTIVALUE;ATIVO;EXPANSÃO DA DEFENSORIA PÚBLICA NO ESTADO;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
