
"Relatório 1"

"UnidadeOrçam - Código";"UnidadeOrçam - Nome";"UnidadeOrçam - Código-Nome";"UnidadeOrçam - Sigla";"Classificação Jurídica Orçam - Código";"Classificação Jurídica Orçam - Descrição";"Tipo Administração Orçam"
"10071";"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"10071 - GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"GMG";"N/A";"N/A";"N/A"
"10081";"ADVOCACIA GERAL DO ESTADO";"10081 - ADVOCACIA GERAL DO ESTADO";"AGE";"N/A";"N/A";"N/A"
"10081";"ADVOCACIA GERAL DO ESTADO";"10081 - ADVOCACIA GERAL DO ESTADO";"AGE";"1";"SECRETARIA";"DIREITA"
"10081";"ADVOCACIA GERAL DO ESTADO DE MINAS GERAIS";"10081 - ADVOCACIA GERAL DO ESTADO DE MINAS GERAIS";"AGE";"1";"SECRETARIA";"DIREITA"
"10091";"MINISTÉRIO PÚBLICO DO ESTADO DE MINAS GERAIS";"10091 - MINISTÉRIO PÚBLICO DO ESTADO DE MINAS GERAIS";"MPMG";"N/A";"N/A";"N/A"
"10091";"PROCURADORIA GERAL DE JUSTIÇA";"10091 - PROCURADORIA GERAL DE JUSTIÇA";"MPMG";"N/A";"N/A";"N/A"
"10101";"OUVIDORIA GERAL DO ESTADO";"10101 - OUVIDORIA GERAL DO ESTADO";"OGE";"N/A";"N/A";"N/A"
"10101";"OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS";"10101 - OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS";"OGE";"N/A";"N/A";"N/A"
"10191";"SECRETARIA DE ESTADO DE FAZENDA";"10191 - SECRETARIA DE ESTADO DE FAZENDA";"ASEF";"N/A";"N/A";"N/A"
"10191";"SECRETARIA DE ESTADO DE FAZENDA";"10191 - SECRETARIA DE ESTADO DE FAZENDA";"ASEF";"2";"AUTARQUIA";"INDIRETA"
"10191";"SECRETARIA DE ESTADO DE FAZENDA";"10191 - SECRETARIA DE ESTADO DE FAZENDA";"SEF";"N/A";"N/A";"N/A"
"10221";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO";"10221 - SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO";"SEDE";"N/A";"N/A";"N/A"
"10221";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO, CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR";"10221 - SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO, CIÊNCIA, TECNOLOGIA E ENSINO SUPERIOR";"SEDECTES";"N/A";"N/A";"N/A"
"10231";"SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO";"10231 - SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO";"SEAPA";"N/A";"N/A";"N/A"
"10251";"POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS";"10251 - POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS";"PMMG";"N/A";"N/A";"N/A"
"10251";"POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS";"10251 - POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS";"PMMG";"3";"FUNDAÇÃO";"INDIRETA"
"10261";"SECRETARIA DE ESTADO DE EDUCAÇÃO";"10261 - SECRETARIA DE ESTADO DE EDUCAÇÃO";"SEE";"N/A";"N/A";"N/A"
"10261";"SECRETARIA DE ESTADO DE EDUCAÇÃO";"10261 - SECRETARIA DE ESTADO DE EDUCAÇÃO";"SEE";"2";"AUTARQUIA";"INDIRETA"
"10271";"SECRETARIA DE ESTADO DE CULTURA";"10271 - SECRETARIA DE ESTADO DE CULTURA";"ASEC";"N/A";"N/A";"N/A"
"10271";"SECRETARIA DE ESTADO DE CULTURA";"10271 - SECRETARIA DE ESTADO DE CULTURA";"ASEC";"3";"FUNDAÇÃO";"INDIRETA"
"10271";"SECRETARIA DE ESTADO DE CULTURA E TURISMO";"10271 - SECRETARIA DE ESTADO DE CULTURA E TURISMO";"SECULT";"N/A";"N/A";"N/A"
"10301";"SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE";"10301 - SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE";"SEINFRA";"N/A";"N/A";"N/A"
"10301";"SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE";"10301 - SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE";"SEINFRA";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"10301";"SECRETARIA DE ESTADO DE TRANSPORTE E OBRAS PÊBLICAS";"10301 - SECRETARIA DE ESTADO DE TRANSPORTE E OBRAS PÊBLICAS";"SETOP";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"10321";"SECRETARIA DE ESTADO DE SAÚDE";"10321 - SECRETARIA DE ESTADO DE SAÚDE";"SES";"N/A";"N/A";"N/A"
"10321";"SECRETARIA DE ESTADO DE SAÚDE";"10321 - SECRETARIA DE ESTADO DE SAÚDE";"SES";"1";"SECRETARIA";"DIREITA"
"10321";"SECRETARIA DE ESTADO DE SAÚDE";"10321 - SECRETARIA DE ESTADO DE SAÚDE";"SES";"3";"FUNDAÇÃO";"INDIRETA"
"10371";"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL";"10371 - SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL";"SEMAD";"3";"FUNDAÇÃO";"INDIRETA"
"10401";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"10401 - CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"CBMMG";"1";"SECRETARIA";"DIREITA"
"10401";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"10401 - CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"CBMMG";"2";"AUTARQUIA";"INDIRETA"
"10411";"SECRETARIA DE ESTADO DE TURISMO";"10411 - SECRETARIA DE ESTADO DE TURISMO";"SETUR";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"10441";"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";"10441 - DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";"DEF PUB";"N/A";"N/A";"N/A"
"10451";"SECRETARIA DE ESTADO DE ADMINISTRAÇÃO PRISIONAL";"10451 - SECRETARIA DE ESTADO DE ADMINISTRAÇÃO PRISIONAL";"SEAP";"N/A";"N/A";"N/A"
"10451";"SECRETARIA DE ESTADO DE JUSTIÇA E SEGURANÇA PÚBLICA";"10451 - SECRETARIA DE ESTADO DE JUSTIÇA E SEGURANÇA PÚBLICA";"SEJUSP";"N/A";"N/A";"N/A"
"10471";"SECRETARIA DE ESTADO DE CIDADES E INTEGRAÇÃO REGIONAL";"10471 - SECRETARIA DE ESTADO DE CIDADES E INTEGRAÇÃO REGIONAL";"SECIR";"3";"FUNDAÇÃO";"INDIRETA"
"10481";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"10481 - SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"SEDESE";"N/A";"N/A";"N/A"
"10481";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"10481 - SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"SEDESE";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"10481";"SECRETARIA DE ESTADO DE TRABALHO E DESENVOLVIMENTO SOCIAL";"10481 - SECRETARIA DE ESTADO DE TRABALHO E DESENVOLVIMENTO SOCIAL";"SEDESE";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"10491";"SECRETARIA DE ESTADO DE GOVERNO";"10491 - SECRETARIA DE ESTADO DE GOVERNO";"SEGOV";"N/A";"N/A";"N/A"
"10491";"SECRETARIA DE ESTADO DE GOVERNO";"10491 - SECRETARIA DE ESTADO DE GOVERNO";"SEGOV";"3";"FUNDAÇÃO";"INDIRETA"
"10501";"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO";"10501 - SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO";"SEPLAG";"N/A";"N/A";"N/A"
"10501";"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO";"10501 - SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO";"SEPLAG";"1";"SECRETARIA";"DIREITA"
"10501";"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO";"10501 - SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO";"SEPLAG";"2";"AUTARQUIA";"INDIRETA"
"10501";"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO";"10501 - SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO";"SEPLAG";"3";"FUNDAÇÃO";"INDIRETA"
"10502";"CIDADE ADMINISTRATIVA";"10502 - CIDADE ADMINISTRATIVA";"CAMG";"3";"FUNDAÇÃO";"INDIRETA"
"10511";"POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS";"10511 - POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS";"PCMG";"N/A";"N/A";"N/A"
"10511";"POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS";"10511 - POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS";"PCMG";"2";"AUTARQUIA";"INDIRETA"
"10521";"CONTROLADORIA GERAL DO ESTADO";"10521 - CONTROLADORIA GERAL DO ESTADO";"CGE";"1";"SECRETARIA";"DIREITA"
"10521";"CONTROLADORIA-GERAL DO ESTADO";"10521 - CONTROLADORIA-GERAL DO ESTADO";"CGE";"N/A";"N/A";"N/A"
"10521";"CONTROLADORIA GERAL DO ESTADOX";"10521 - CONTROLADORIA GERAL DO ESTADOX";"CGE";"1";"SECRETARIA";"DIREITA"
"10541";"ESCOLA DE SAÚDE PÚBLICA DO ESTADO DE MINAS GERAIS";"10541 - ESCOLA DE SAÚDE PÚBLICA DO ESTADO DE MINAS GERAIS";"ESP";"N/A";"N/A";"N/A"
"10541";"ESCOLA DE SAÚDE PÚBLICA DO ESTADO DE MINAS GERAIS";"10541 - ESCOLA DE SAÚDE PÚBLICA DO ESTADO DE MINAS GERAIS";"ESPMG";"N/A";"N/A";"N/A"
"10541";"ESCOLA DE SAÚDE PÚBLICA DO ESTADO DE MINAS GERAIS";"10541 - ESCOLA DE SAÚDE PÚBLICA DO ESTADO DE MINAS GERAIS";"ESPMG";"2";"AUTARQUIA";"INDIRETA"
"10551";"DEPARTAMENTO DE TRÂNSITO DE MINAS GERAIS";"10551 - DEPARTAMENTO DE TRÂNSITO DE MINAS GERAIS";"DETRAN-MG";"N/A";"N/A";"N/A"
"10551";"DETRAN/MG";"10551 - DETRAN/MG";"DETRAN";"N/A";"N/A";"N/A"
"10571";"SECRETARIA DE ESTADO DE CASA CIVIL E RELAÇÕES INSTITUCIONAIS";"10571 - SECRETARIA DE ESTADO DE CASA CIVIL E RELAÇÕES INSTITUCIONAIS";"SECCRI";"N/A";"N/A";"N/A"
"10591";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRAÇÃO DO NORTE E NORDESTE DE MINAS GERAIS";"10591 - SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRAÇÃO DO NORTE E NORDESTE DE MINAS GERAIS";"SEDINOR";"N/A";"N/A";"N/A"
"10631";"SECRETARIA-GERAL";"10631 - SECRETARIA-GERAL";"SEC. GERAL";"N/A";"N/A";"N/A"
"10631";"SECRETARIA-GERAL";"10631 - SECRETARIA-GERAL";"SECGERAL";"N/A";"N/A";"N/A"
"10641";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRÁRIO";"10641 - SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRÁRIO";"SEDA";"3";"FUNDAÇÃO";"INDIRETA"
"10651";"SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPAÇÃO SOCIAL E CIDADANIA";"10651 - SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPAÇÃO SOCIAL E CIDADANIA";"SEDPAC";"N/A";"N/A";"N/A"
"10671";"SECRETARIA DE ESTADO DE ESPORTES";"10671 - SECRETARIA DE ESTADO DE ESPORTES";"SEESP";"N/A";"N/A";"N/A"
"10691";"SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA";"10691 - SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA";"SESP";"N/A";"N/A";"N/A"
"10701";"SECRETARIA DE ESTADO EXTRAORDINÁRIA DE DESENVOLVIMENTO INTEGRADO E FÓRUNS REGIONAIS";"10701 - SECRETARIA DE ESTADO EXTRAORDINÁRIA DE DESENVOLVIMENTO INTEGRADO E FÓRUNS REGIONAIS";"SEEDIF";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"10911";"EGE SEC.FAZENDA-ENCARGOS DIVERSOS";"10911 - EGE SEC.FAZENDA-ENCARGOS DIVERSOS";"EGE-SEF";"6";"EMPRESA CONTROLADA";"INDIRETA"
"10911";"ENCARGOS GERAIS DO ESTADO";"10911 - ENCARGOS GERAIS DO ESTADO";"EGE";"6";"EMPRESA CONTROLADA";"INDIRETA"
"10915";"PARTCIPAÇÃO EM EMPRESAS";"10915 - PARTCIPAÇÃO EM EMPRESAS";"PE";"6";"EMPRESA CONTROLADA";"INDIRETA"
"10915";"PARTICIPAÇÃO NO AUMENTO DO CAPITAL SOCIAL DE EMPRESAS";"10915 - PARTICIPAÇÃO NO AUMENTO DO CAPITAL SOCIAL DE EMPRESAS";"PARTICIPAÇÃO EMPRESAS";"6";"EMPRESA CONTROLADA";"INDIRETA"
"10916";"GESTÃO DA DIVIDA PÚBLICA ESTADUAL";"10916 - GESTÃO DA DIVIDA PÚBLICA ESTADUAL";"GDPE";"6";"EMPRESA CONTROLADA";"INDIRETA"
"10916";"GESTÃO DA DÍVIDA PÚBLICA ESTADUAL";"10916 - GESTÃO DA DÍVIDA PÚBLICA ESTADUAL";"GDPE-SEF";"2";"AUTARQUIA";"INDIRETA"
"10917";"GESTÃO IMOBILIÁRIA";"10917 - GESTÃO IMOBILIÁRIA";"IMOVEIS";"N/A";"N/A";"N/A"
"10917";"GESTÃO IMOBILIÁRIA";"10917 - GESTÃO IMOBILIÁRIA";"IMOVEIS";"3";"FUNDAÇÃO";"INDIRETA"
"10941";"EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO";"10941 - EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO";"EGE-SEPLAG";"1";"SECRETARIA";"DIREITA"
"10941";"EGE-SEPLAG";"10941 - EGE-SEPLAG";"EGE-SEPLAG";"1";"SECRETARIA";"DIREITA"
"10991";"RESERVA DE CONTINGENCIA";"10991 - RESERVA DE CONTINGENCIA";"RC";"N/A";"N/A";"N/A"
"10991";"RESERVA DE CONTINGÊNCIA ";"10991 - RESERVA DE CONTINGÊNCIA ";"RC";"N/A";"N/A";"N/A"
"15151";"UNIDADE ORCAMENTARIA PARA TESTE EMPENHO";"15151 - UNIDADE ORCAMENTARIA PARA TESTE EMPENHO";"UOEMPOLP";"N/A";"N/A";"N/A"
"20011";"INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"20011 - INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"IPSEMG";"N/A";"N/A";"N/A"
"20041";"LOTERIA DO ESTADO DE MINAS GERAIS";"20041 - LOTERIA DO ESTADO DE MINAS GERAIS";"LEMG";"N/A";"N/A";"N/A"
"20041";"LOTERIA DO ESTADO DE MINAS GERAIS";"20041 - LOTERIA DO ESTADO DE MINAS GERAIS";"LEMG";"1";"SECRETARIA";"DIREITA"
"20061";"FUNDAÇÃO JOÃO PINHEIRO";"20061 - FUNDAÇÃO JOÃO PINHEIRO";"FJP";"N/A";"N/A";"N/A"
"20061";"FUNDAÇÃO JOÃO PINHEIRO";"20061 - FUNDAÇÃO JOÃO PINHEIRO";"FJP";"1";"SECRETARIA";"DIREITA"
"20071";"FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS";"20071 - FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS";"FAPEMIG";"N/A";"N/A";"N/A"
"20071";"FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS";"20071 - FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS";"FAPEMIG";"3";"FUNDAÇÃO";"INDIRETA"
"20091";"FUNDAÇÃO ESTADUAL DO MEIO AMBIENTE";"20091 - FUNDAÇÃO ESTADUAL DO MEIO AMBIENTE";"FEAM";"N/A";"N/A";"N/A"
"20091";"FUNDAÇÃO ESTADUAL DO MEIO AMBIENTE";"20091 - FUNDAÇÃO ESTADUAL DO MEIO AMBIENTE";"FEAM";"2";"AUTARQUIA";"INDIRETA"
"20101";"INSTITUTO ESTADUAL DE FLORESTAS";"20101 - INSTITUTO ESTADUAL DE FLORESTAS";"IEF";"N/A";"N/A";"N/A"
"20121";"INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"20121 - INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"IPSM";"2";"AUTARQUIA";"INDIRETA"
"20151";"FUNDAÇÃO HELENA ANTIPOFF";"20151 - FUNDAÇÃO HELENA ANTIPOFF";"FHA";"N/A";"N/A";"N/A"
"20161";"FUNDAÇÃO EDUCACIONAL CAIO MARTINS";"20161 - FUNDAÇÃO EDUCACIONAL CAIO MARTINS";"FUCAM";"2";"AUTARQUIA";"INDIRETA"
"20171";"FUNDAÇÃO DE ARTE DE OURO PRETO";"20171 - FUNDAÇÃO DE ARTE DE OURO PRETO";"FAOP";"1";"SECRETARIA";"DIREITA"
"20171";"FUNDAÇÃO DE ARTE DE OURO PRETO";"20171 - FUNDAÇÃO DE ARTE DE OURO PRETO";"FAOP";"2";"AUTARQUIA";"INDIRETA"
"20181";"FUNDAÇÃO CLÓVIS SALGADO";"20181 - FUNDAÇÃO CLÓVIS SALGADO";"FCS";"1";"SECRETARIA";"DIREITA"
"20181";"FUNDAÇÃO CLÓVIS SALGADO";"20181 - FUNDAÇÃO CLÓVIS SALGADO";"FCS";"2";"AUTARQUIA";"INDIRETA"
"20201";"INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO DE MINAS GERAIS";"20201 - INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO DE MINAS GERAIS";"IEPHAMG";"N/A";"N/A";"N/A"
"20201";"INSTITUTO ESTADUAL DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO DE MINAS GERAIS";"20201 - INSTITUTO ESTADUAL DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO DE MINAS GERAIS";"IEPHA";"N/A";"N/A";"N/A"
"20211";"FUNDAÇÃO TV MINAS CULTURAL E EDUCATIVA";"20211 - FUNDAÇÃO TV MINAS CULTURAL E EDUCATIVA";"TV MINAS";"N/A";"N/A";"N/A"
"20211";"FUNDAÇÃO TV MINAS CULTURAL E EDUCATIVA";"20211 - FUNDAÇÃO TV MINAS CULTURAL E EDUCATIVA";"TVMINAS";"N/A";"N/A";"N/A"
"20241";"INSTITUTO MINEIRO DE GESTÃO DAS ÁGUAS";"20241 - INSTITUTO MINEIRO DE GESTÃO DAS ÁGUAS";"IGAM";"N/A";"N/A";"N/A"
"20251";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"20251 - JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"JUCEMG";"N/A";"N/A";"N/A"
"20261";"FUNDAÇÃO EZEQUIEL DIAS";"20261 - FUNDAÇÃO EZEQUIEL DIAS";"FUNED";"N/A";"N/A";"N/A"
"20261";"FUNDAÇÃO EZEQUIEL DIAS";"20261 - FUNDAÇÃO EZEQUIEL DIAS";"FUNED";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"20271";"FUNDAÇÃO HOSPITALAR DO ESTADO DE MINAS GERAIS";"20271 - FUNDAÇÃO HOSPITALAR DO ESTADO DE MINAS GERAIS";"FHEMIG";"N/A";"N/A";"N/A"
"20271";"FUNDAÇÃO HOSPITALAR DO ESTADO DE MINAS GERAIS";"20271 - FUNDAÇÃO HOSPITALAR DO ESTADO DE MINAS GERAIS";"FHEMIG";"2";"AUTARQUIA";"INDIRETA"
"20281";"FUNDAÇÃO DE EDUCAÇÃO PARA O TRABALHO DE MINAS GERAIS";"20281 - FUNDAÇÃO DE EDUCAÇÃO PARA O TRABALHO DE MINAS GERAIS";"UTRAMIG";"N/A";"N/A";"N/A"
"20281";"FUNDAÇÃO DE EDUCAÇÃO PARA O TRABALHO DE MINAS GERAIS";"20281 - FUNDAÇÃO DE EDUCAÇÃO PARA O TRABALHO DE MINAS GERAIS";"UTRAMIG";"2";"AUTARQUIA";"INDIRETA"
"20301";"DEPARTAMENTO DE EDIFICAÇÕES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS";"20301 - DEPARTAMENTO DE EDIFICAÇÕES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS";"DEER";"N/A";"N/A";"N/A"
"20301";"DEPARTAMENTO DE EDIFICAÇÕES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS";"20301 - DEPARTAMENTO DE EDIFICAÇÕES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS";"DEERMG";"N/A";"N/A";"N/A"
"20301";"DEPARTAMENTO DE EDIFICAÇÕES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS";"20301 - DEPARTAMENTO DE EDIFICAÇÕES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS";"DEERMG";"2";"AUTARQUIA";"INDIRETA"
"20311";"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"20311 - UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"UNIMONTES";"N/A";"N/A";"N/A"
"20311";"UNIVERSIDADE ESTADUAL DE MONTES CLAROS..";"20311 - UNIVERSIDADE ESTADUAL DE MONTES CLAROS..";"UNIMONTES";"N/A";"N/A";"N/A"
"20321";"FUNDAÇÃO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS";"20321 - FUNDAÇÃO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS";"HEMOMINAS";"N/A";"N/A";"N/A"
"20321";"FUNDAÇÃO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS";"20321 - FUNDAÇÃO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS";"HEMOMINAS";"3";"FUNDAÇÃO";"INDIRETA"
"20321";"FUNDAÇÃO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO ESTADO DE MINAS GERAIS";"20321 - FUNDAÇÃO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DO ESTADO DE MINAS GERAIS";"HEMOMINAS";"N/A";"N/A";"N/A"
"20331";"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"20331 - INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"IPEM";"N/A";"N/A";"N/A"
"20331";"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"20331 - INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"IPEMMG";"N/A";"N/A";"N/A"
"20351";"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";"20351 - UNIVERSIDADE DO ESTADO DE MINAS GERAIS";"UEMG";"N/A";"N/A";"N/A"
"20361";"INSTITUTO DE PREVIDÊNCIA DO LEGISLATIVO DO ESTADO DE MINAS GERAIS";"20361 - INSTITUTO DE PREVIDÊNCIA DO LEGISLATIVO DO ESTADO DE MINAS GERAIS";"IPLEMG";"N/A";"N/A";"N/A"
"20361";"INSTITUTO DE PREVIDÊNCIA DO LEGISLATIVO DO ESTADO DE MINAS GERAIS";"20361 - INSTITUTO DE PREVIDÊNCIA DO LEGISLATIVO DO ESTADO DE MINAS GERAIS";"IPLMG";"N/A";"N/A";"N/A"
"20371";"INSTITUTO MINEIRO DE AGROPECUÁRIA";"20371 - INSTITUTO MINEIRO DE AGROPECUÁRIA";"IMA";"N/A";"N/A";"N/A"
"20421";"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"20421 - INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"IDENE";"N/A";"N/A";"N/A"
"20421";"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"20421 - INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"IDENE";"6";"EMPRESA CONTROLADA";"INDIRETA"
