CentroCusto - Código;AnoExercício CentroCusto;Situação CentroCusto;CentroCusto - Descrição;CentroCusto - Descrição Complementar;Órgão CentroCusto - Código;Órgão CentroCusto - Nome;Órgão CentroCusto - Sigla
1;2021;ATIVO;SEDE - BELO HORIZONTE                                                 ;1;20160;FUNDAÇÃO EDUCACIONAL CAIO MARTINS;FUCAM
1;2021;ATIVO;SERVIÇO DIAGNOSTICO TERAPEUTICO                                       ;EXAMES LABORATORIAL E IMAGEM. ;20310;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;UNIMONTES
1;2021;ATIVO;SETOP:DESAPROPRIACAO IMOVEIS                                          ;1300.003.00                   ;10940;ENCARGOS GERAIS DO ESTADO - SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO;EGE SEPLAG
1;2021;ATIVO;SUAPI                                                                 ;SUAPI                         ;10320;SECRETARIA DE ESTADO DE SAÚDE;SES
1;2021;ATIVO;TV MINAS                                                              ;DESPESAS ORDINARIAS           ;20210;FUNDAÇÃO TV MINAS CULTURAL E EDUCATIVA;TVMINAS
2;2021;ATIVO;2500 - DESPESAS DE AREA MEIO                                          ;DEMAIS DESPESAS               ;10220;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO;SEDE
2;2021;ATIVO;2 DEPTO - CONTAGEM                                                    ;2 DEPTO - CONTAGEM            ;10510;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG
2;2021;ATIVO;ATIVIDADE FINALISTICA NA ADMINISTRAÇÃO UNIVERSITÁRIA                  ;ATIVIDADE FINALISTICA UNIVERSI;20350;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;UEMG
2;2021;ATIVO;AUDITORIA                                                             ;101002;20320;FUNDAÇÃO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS;HEMOMINAS
2;2021;ATIVO;CENTRO INTEGRADO DE EDUCACACAO DE ESMERALDAS                          ;                              ;20160;FUNDAÇÃO EDUCACIONAL CAIO MARTINS;FUCAM
2;2021;ATIVO;CLINICAS/INTERNACOES HOSPITALARES                                     ;CLINICA MEDICA, CIRURGICA ETC ;20310;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;UNIMONTES
2;2021;ATIVO;CONSELHO CURADOR - FHA                                                ;CONSELHO CURADOR              ;20150;FUNDAÇÃO HELENA ANTIPOFF;FHA
2;2021;ATIVO;CORONAVIRUS/COVID 19                                                  ;CORONAVIRUS/COVID 19          ;20200;INSTITUTO ESTADUAL DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO DE MINAS GERAIS;IEPHA
2;2021;ATIVO;DEMAIS DESPESAS DA UNIDADE                                            ;DEMAIS DESPESAS DA UNIDADE    ;20280;FUNDAÇÃO DE EDUCAÇÃO PARA O TRABALHO DE MINAS GERAIS;UTRAMIG
2;2021;ATIVO;DESMAIS DESPESAS                                                      ;DEMAIS DESPESAS               ;20180;FUNDAÇÃO CLÓVIS SALGADO;FCS
2;2021;ATIVO;DESPESAS GERAIS SEAPA                                                 ;GERAL                         ;10230;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO;SEAPA
2;2021;ATIVO;DESPESAS ORÇAMENTÁRIAS DA SECULT                                      ;SECULT                        ;10270;SECRETARIA DE ESTADO DE CULTURA E TURISMO;SECULT
2;2021;ATIVO;DEVOLUCAO DE RECURSOS AO CONCEDENTE                                   ;DEVOLUCAO                     ;10300;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SEINFRA
2;2021;ATIVO;DPGF - DIRETORIA PLANEJAMENTO GESTÃO E FINANÇAS                       ;DPGF                          ;20250;JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS;JUCEMG
2;2021;ATIVO;FHEMIG/ADC                                                            ;FHEMIG/ADC                    ;20270;FUNDAÇÃO HOSPITALAR DO ESTADO DE MINAS GERAIS;FHEMIG
2;2021;ATIVO;FINANCAS - SUF                                                        ;SUF                           ;10450;SECRETARIA DE ESTADO DE JUSTIÇA E SEGURANÇA PÚBLICA;SEJUSP
2;2021;ATIVO;FISCALIZAÇÃO URBANA                                                   ;FISCALIZAÇÃO URBANA           ;20430;AGÊNCIA DE DESENVOLVIMENTO DA REGIÃO METROPOLITANA DE BELO HORIZONTE;ARMBH
2;2021;ATIVO;GAB SRF-1                                                             ;                              ;10190;SECRETARIA DE ESTADO DE FAZENDA;SEF
2;2021;ATIVO;GASTOS GERAIS                                                         ;GERAL                         ;20120;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS;IPSM
2;2021;ATIVO;GERAL                                                                 ;GERAL                         ;20370;INSTITUTO MINEIRO DE AGROPECUÁRIA;IMA
2;2021;ATIVO;INFRAESTRUTURA LEMG                                                   ;INFRAESTRUTURA LEMG           ;20040;LOTERIA DO ESTADO DE MINAS GERAIS;LEMG
2;2021;ATIVO;IPEM - MG                                                             ;GERAL                         ;20330;INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS;IPEMMG
2;2021;ATIVO;MANUTENÇAO                                                            ;0021021164210N708             ;10260;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE
2;2021;ATIVO;PARA ATENDER DESPESAS DO TRIBUNAL DE CONTAS COM CORONAVIRUS-COVID-19  ;XXX                           ;10020;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;TCEMG
2;2021;ATIVO;PROD CIENT CAMPO SAUDE                                                ;PROD CIENT CAMPO SAUDE        ;10540;ESCOLA DE SAÚDE PÚBLICA;ESPMG
2;2021;ATIVO; ROMPIMENTO/COLAPSO DE BARRAGEM EM BRUMADINHO                         ;ROMPIMENTO/COLAPSO DE BARRAGEM;10250;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG
2;2021;ATIVO; ROMPIMENTO/COLAPSO DE BARRAGEM EM BRUMADINHO                         ;ROMPIMENTO/COLAPSO DE BARRAGEM;20170;FUNDAÇÃO DE ARTE DE OURO PRETO;FAOP
2;2021;ATIVO; ROMPIMENTO/COLAPSO DE BARRAGEM EM BRUMADINHO                         ;ROMPIMENTO/COLAPSO DE BARRAGEM;20300;DEPARTAMENTO DE EDIFICAÇÕES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DER-MG
2;2021;ATIVO;ROMPIMENTO/ COLAPSO DE BARRAGEM EM BRUMADINHO                         ;ROMPIMENTO/COLAPSO DE BARRAGEM;10630;SECRETARIA-GERAL;SEC. GERAL
2;2021;ATIVO;ROMPIMENTO/COLAPSO DE BARRAGEM EM BRUMADINHO                          ;ACOMPANHAMENTO ESPECIAL       ;10370;SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;SEMAD
2;2021;ATIVO;ROMPIMENTO/COLAPSO DE BARRAGEM EM BRUMADINHO                          ;ROMPIMENTO/COLAPSO DE BARRAGEM;10070;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;GMG
2;2021;ATIVO;ROMPIMENTO/COLAPSO DE BARRAGEM EM BRUMADINHO                          ;ROMPIMENTO/COLAPSO DE BARRAGEM;10080;ADVOCACIA GERAL DO ESTADO;AGE
2;2021;ATIVO;ROMPIMENTO/COLAPSO DE BARRAGEM EM BRUMADINHO                          ;ROMPIMENTO/COLAPSO DE BARRAGEM;10100;OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS;OGE
2;2021;ATIVO;ROMPIMENTO/COLAPSO DE BARRAGEM EM BRUMADINHO                          ;ROMPIMENTO/COLAPSO DE BARRAGEM;10400;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;CBMMG
2;2021;ATIVO;ROMPIMENTO/COLAPSO DE BARRAGEM EM BRUMADINHO                          ;ROMPIMENTO/COLAPSO DE BARRAGEM;10480;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE
2;2021;ATIVO;ROMPIMENTO/COLAPSO DE BARRAGEM EM BRUMADINHO                          ;ROMPIMENTO/COLAPSO DE BARRAGEM;10520;CONTROLADORIA-GERAL DO ESTADO;CGE
2;2021;ATIVO;ROMPIMENTO/COLAPSO DE BARRAGEM EM BRUMADINHO                          ;ROMPIMENTO/COLAPSO DE BARRAGEM;20100;INSTITUTO ESTADUAL DE FLORESTAS;IEF
2;2021;ATIVO;ROMPIMENTO/COLAPSO DE BARRAGEM EM BRUMADINHO                          ;ROMPIMENTO/COLAPSO DE BARRAGEM;20240;INSTITUTO MINEIRO DE GESTÃO DAS ÁGUAS;IGAM
2;2021;ATIVO;ROMPIMENTO/COLAPSO DE BARRAGEM EM BRUMADINHO                          ;ROMPIMENTO/COLAPSO DE BARRAGEM;20440;AGÊNCIA REGULADORA DE SERVIÇOS DE ABASTECIMENTO DE ÁGUA E DE ESGOTAMENTO SANITÁRIO DO ESTADO DE MINAS GERAIS;ARSAE-MG
2;2021;ATIVO;ROMPIMENTO/COLAPSO DE BARRAGEM EM BRUMADINHO                          ;TV MINAS                      ;20210;FUNDAÇÃO TV MINAS CULTURAL E EDUCATIVA;TVMINAS
2;2021;ATIVO;ROMPIMENTO/COLAPSO DE BARRAGEM EM BRUMADINHO                          ;UPG ESPECIFICA ROMPIMENTO     ;20090;FUNDAÇÃO ESTADUAL DO MEIO AMBIENTE;FEAM
2;2021;ATIVO;SEE:DESAPROPRIACAO DE IMOVEIS                                         ;1260.003.00                   ;10940;ENCARGOS GERAIS DO ESTADO - SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTÃO;EGE SEPLAG
2;2021;ATIVO;SIOMG                                                                 ;SEGOV/SECCRI                  ;10490;SECRETARIA DE ESTADO DE GOVERNO;SEGOV
2;2021;ATIVO;SUASE                                                                 ;SUASE                         ;10320;SECRETARIA DE ESTADO DE SAÚDE;SES
2;2021;ATIVO;UPG GERAL                                                             ;UPG GERAL                     ;20420;INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS;IDENE
3;2021;ATIVO;3 DEPTO - VESPASIANO                                                  ;3 DEPTO - VESPASIANO          ;10510;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG
3;2021;ATIVO;ALOCAÇÃO DE TODAS AS DESPESAS ORÇAMENTÁRIAS EXECUTADAS COM O COVID 19.;CORONAVIRUS/COVID 19          ;10100;OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS;OGE
3;2021;ATIVO;APOIO A EXECUCAO DAS POLITICAS PUBLICAS                               ;APOIO EXEC POLITICAS PUBLICAS ;20420;INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS;IDENE
3;2021;ATIVO;ATIVIDADE MEIO NA ADMINISTRAÇÃO UNIVERSITÁRIA                         ;ATIVIDADE MEIO UNIVERSITÁRIA  ;20350;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;UEMG
3;2021;ATIVO;CEN AP SAO FRANCISCO                                                  ;CEN AP SAO FRANCISCO          ;10320;SECRETARIA DE ESTADO DE SAÚDE;SES
3;2021;ATIVO;CONTAGEM - AREA MEIO                                                  ;CONTAGEM - AREA MEIO          ;20330;INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS;IPEMMG
3;2021;ATIVO;CORONAVIRUS / COVID-19                                                ;CORONAVIRUS / COVID-19        ;20100;INSTITUTO ESTADUAL DE FLORESTAS;IEF
3;2021;ATIVO;CORONAVIRUS/COVID 19                                                  ;CORONAVIRUS/COVID 19          ;10080;ADVOCACIA GERAL DO ESTADO;AGE
3;2021;ATIVO;CORONAVIRUS/COVID 19                                                  ;CORONAVIRUS/COVID 19          ;20090;FUNDAÇÃO ESTADUAL DO MEIO AMBIENTE;FEAM
3;2021;ATIVO;CORONAVIRUS/COVID 19                                                  ;CORONAVIRUS/COVID 19          ;20240;INSTITUTO MINEIRO DE GESTÃO DAS ÁGUAS;IGAM
3;2021;ATIVO;CORONAVIRUS/COVID 19                                                  ;CORONAVIRUS/COVID 19          ;20270;FUNDAÇÃO HOSPITALAR DO ESTADO DE MINAS GERAIS;FHEMIG
3;2021;ATIVO;CORONAVIRUS/COVID 19                                                  ;CORONAVIRUS/COVID 19          ;20440;AGÊNCIA REGULADORA DE SERVIÇOS DE ABASTECIMENTO DE ÁGUA E DE ESGOTAMENTO SANITÁRIO DO ESTADO DE MINAS GERAIS;ARSAE-MG
3;2021;ATIVO;CORONAVIRUS/COVID 19                                                  ;COVID-19                      ;20170;FUNDAÇÃO DE ARTE DE OURO PRETO;FAOP
3;2021;ATIVO;CORONAVIRUS/COVID 19                                                  ;EPIDEMIA CORONAVIRUS          ;10520;CONTROLADORIA-GERAL DO ESTADO;CGE
3;2021;ATIVO;CORONAVIRUS/COVID 19                                                  ;TV MINAS                      ;20210;FUNDAÇÃO TV MINAS CULTURAL E EDUCATIVA;TVMINAS
3;2021;ATIVO;CORONAVIRUS/COVID-19                                                  ;ACOMPANHAMENTO ESPECIAL       ;10370;SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;SEMAD
3;2021;ATIVO;CORONAVIRUS/COVID-19                                                  ;CORONAVIRUS/COVID-19          ;10230;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO;SEAPA
3;2021;ATIVO;CORONAVIRUS/COVID-19                                                  ;CORONAVIRUS/COVID-19          ;10630;SECRETARIA-GERAL;SEC. GERAL
3;2021;ATIVO;CORONAVIRUS/COVID-19                                                  ;CORONAVIRUS/COVID-19          ;20300;DEPARTAMENTO DE EDIFICAÇÕES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DER-MG
3;2021;ATIVO;CORONAVIRUS/COVID-19                                                  ;CORONAVIRUS/COVID-19          ;20370;INSTITUTO MINEIRO DE AGROPECUÁRIA;IMA
3;2021;ATIVO;COVID 19 - CONTROLAR DESP E GASTOS RELACIONADOS A PANDEMIA            ;CORONAVIRUS/COVID 19          ;10220;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO;SEDE
3;2021;ATIVO;DEP: GESTÃO DA VIDA ESCOLAR                                           ;VIDA ESCOLAR                  ;20280;FUNDAÇÃO DE EDUCAÇÃO PARA O TRABALHO DE MINAS GERAIS;UTRAMIG
3;2021;ATIVO;DESPESAS COM SERVICOS DE APOIO ADMINISTRATIVO DA SEINFRA              ;MGS APOIO ADMINISTRATIVO      ;10300;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SEINFRA
3;2021;ATIVO;DESPESAS DECORRENTES DO ENFRENTAMENTO A PANDEMIA COVID19              ;ENFRENTAMENTO COVID19         ;10480;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE
3;2021;ATIVO;DESPESAS REALIZADAS COM OS ESPACOS CULTURAIS DA FCS                   ;ESPACOS CULTURAIS             ;20180;FUNDAÇÃO CLÓVIS SALGADO;FCS
3;2021;ATIVO;DESPESAS REALIZADAS PELO GABINETE DA SECULT                           ;GAB                           ;10270;SECRETARIA DE ESTADO DE CULTURA E TURISMO;SECULT
3;2021;ATIVO;DF/1º NIVEL/BH-1                                                      ;                              ;10190;SECRETARIA DE ESTADO DE FAZENDA;SEF
3;2021;ATIVO;DINT - DIRETORIA DE INTEGRAÇÃO E NEGÓCIOS E TECNOLOGIA INFORMÁTICA    ;DINT                          ;20250;JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS;JUCEMG
3;2021;ATIVO;EXECUCAO DAS DESPESAS DA 3ª RPM E UNIDADES SUBORDINADAS               ;3ª RPM                        ;10250;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG
3;2021;ATIVO;GABINETE E PARCERIAS                                                  ;GAB E API                     ;20200;INSTITUTO ESTADUAL DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO DE MINAS GERAIS;IEPHA
3;2021;ATIVO;GABINETE - FHA                                                        ;GABINETE                      ;20150;FUNDAÇÃO HELENA ANTIPOFF;FHA
3;2021;ATIVO;JURIDICO                                                              ;101003;20320;FUNDAÇÃO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS;HEMOMINAS
3;2021;ATIVO;MANTER OS NTE                                                         ;0021023410R708                ;10260;SECRETARIA DE ESTADO DE EDUCAÇÃO;SEE
3;2021;ATIVO;MEDIDAS PREVENTIVAS, MITIGADORAS, PREPARAÇÃO, RESPOSTA E RECUPERAÇÃO. ;PROTEÇÃO E DEFESA CIVIL       ;10070;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;GMG
3;2021;ATIVO;NUCLEO DO BURITIZEIRO                                                 ;                              ;20160;FUNDAÇÃO EDUCACIONAL CAIO MARTINS;FUCAM
3;2021;ATIVO;ORDENAMENTO TERRITORIAL METROPOLITANO                                 ;ORDENAMENTO TERRITORIAL METROT;20430;AGÊNCIA DE DESENVOLVIMENTO DA REGIÃO METROPOLITANA DE BELO HORIZONTE;ARMBH
3;2021;ATIVO;SUPERINTENDÊNCIA DE LOGÍSTICA E RECURSOS HUMANOS(SLRH)                ;SUP. LOG. RH                  ;10450;SECRETARIA DE ESTADO DE JUSTIÇA E SEGURANÇA PÚBLICA;SEJUSP
3;2021;ATIVO;TERCEIRO COB                                                          ;GASTOS DO TERCEIRO COB        ;10400;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;CBMMG
3;2021;ATIVO;URGÊNCIA E EMERGÊNCIA                                                 ;PRONTO SOCORRO                ;20310;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;UNIMONTES
3;2021;ATIVO;VICE GOVERNADORIA                                                     ;DESPESAS DA VICE GOVERNADORIA ;10490;SECRETARIA DE ESTADO DE GOVERNO;SEGOV
4;2021;ATIVO;1029;NUCLEO DE ARTES               ;20170;FUNDAÇÃO DE ARTE DE OURO PRETO;FAOP
4;2021;ATIVO;4 DEPTO - JUIZ DE FORA                                                ;4 DEPTO - JUIZ DE FORA        ;10510;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG
4;2021;ATIVO;AÇÕES DA SUBSECRETARIA DE DESENVOLVIMENTO REGIONAL                    ;DESENVOLVIMENTO REGIONAL      ;10220;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO;SEDE
4;2021;ATIVO;ANALISE ICMS                                                          ;GAM E GDI                     ;20200;INSTITUTO ESTADUAL DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO DE MINAS GERAIS;IEPHA
4;2021;ATIVO;APOIO TÉCNICO AOS MUNICÍPIOS                                          ;APOIO TECNICO MUNICIPIOS      ;20430;AGÊNCIA DE DESENVOLVIMENTO DA REGIÃO METROPOLITANA DE BELO HORIZONTE;ARMBH
4;2021;ATIVO; ASSESSORAMENTO E GERENCIAMENTO DE POLÍTICAS PÚBLICAS                 ;DPGF / DIREÇÃO SUPERIO        ;20210;FUNDAÇÃO TV MINAS CULTURAL E EDUCATIVA;TVMINAS
4;2021;ATIVO;ATENDIMENTO AO USUARIO                                                ;ATENDIMENTO AO USUARIO        ;20440;AGÊNCIA REGULADORA DE SERVIÇOS DE ABASTECIMENTO DE ÁGUA E DE ESGOTAMENTO SANITÁRIO DO ESTADO DE MINAS GERAIS;ARSAE-MG
4;2021;ATIVO;CENTRO AMBULATORIAL DE ESPECIALIDADES                                 ; CENTRO CAETAN                ;20310;UNIVERSIDADE ESTADUAL DE MONTES CLAROS;UNIMONTES
4;2021;ATIVO;COMBATE À CORRUPÇÃO                                                   ;COMBATE À CORRUPÇÃO           ;10520;CONTROLADORIA-GERAL DO ESTADO;CGE
